"contract","payment_method","tenure_months","monthly_charges","total_charges","churn_value","churn_score","cltv"
"Month-to-month","Mailed check",2,"53.85","108.15",1,86,"3239"
"Month-to-month","Electronic check",2,"70.7","151.65",1,67,"2701"
"Month-to-month","Electronic check",8,"99.65","820.5",1,86,"5372"
"Month-to-month","Electronic check",28,"104.8","3046.05",1,84,"5003"
"Month-to-month","Bank transfer (automatic)",49,"103.7","5036.3",1,89,"5340"
"Month-to-month","Credit card (automatic)",10,"55.2","528.35",1,78,"5925"
"Month-to-month","Electronic check",1,"39.65","39.65",1,100,"5433"
"Month-to-month","Mailed check",1,"20.15","20.15",1,92,"4832"
"Month-to-month","Electronic check",47,"99.35","4749.15",1,77,"5789"
"Month-to-month","Electronic check",1,"30.2","30.2",1,97,"2915"
"Month-to-month","Mailed check",17,"64.7","1093.1",1,74,"3022"
"Month-to-month","Electronic check",5,"69.7","316.9",1,66,"2454"
"Month-to-month","Electronic check",34,"106.35","3549.25",1,65,"2941"
"Month-to-month","Bank transfer (automatic)",11,"97.85","1105.4",1,70,"5674"
"Month-to-month","Electronic check",2,"80.65","144.15",1,90,"5586"
"Month-to-month","Credit card (automatic)",15,"99.1","1426.4",1,82,"2966"
"Month-to-month","Credit card (automatic)",8,"80.65","633.3",1,69,"5302"
"Month-to-month","Electronic check",18,"95.45","1752.55",1,81,"3179"
"Month-to-month","Electronic check",9,"94.4","857.25",1,96,"5571"
"Month-to-month","Electronic check",1,"79.35","79.35",1,87,"2483"
"Month-to-month","Bank transfer (automatic)",7,"75.15","496.9",1,70,"3457"
"Month-to-month","Electronic check",12,"78.95","927.35",1,86,"5806"
"Month-to-month","Mailed check",5,"21.05","113.85",1,66,"2604"
"Month-to-month","Electronic check",25,"98.5","2514.5",1,88,"5337"
"Two year","Bank transfer (automatic)",68,"110.0","7611.85",1,86,"5034"
"Month-to-month","Electronic check",55,"96.75","5238.9",1,75,"5154"
"Month-to-month","Electronic check",37,"76.5","2868.15",1,67,"2793"
"Month-to-month","Electronic check",10,"100.25","1064.65",1,87,"5998"
"Month-to-month","Electronic check",3,"74.4","229.55",1,76,"4415"
"Month-to-month","Electronic check",27,"78.05","2135.5",1,95,"4638"
"Month-to-month","Credit card (automatic)",25,"58.6","1502.65",1,99,"4190"
"Month-to-month","Electronic check",1,"35.45","35.45",1,80,"2301"
"Month-to-month","Electronic check",2,"44.35","81.25",1,76,"2570"
"Month-to-month","Mailed check",1,"70.45","70.45",1,76,"3964"
"Month-to-month","Electronic check",8,"71.15","563.65",1,66,"2662"
"Month-to-month","Electronic check",1,"45.65","45.65",1,73,"2600"
"Month-to-month","Mailed check",7,"95.0","655.5",1,94,"2786"
"Month-to-month","Electronic check",20,"82.4","1592.35",1,86,"5719"
"Month-to-month","Bank transfer (automatic)",4,"70.9","273.0",1,75,"4287"
"Month-to-month","Electronic check",58,"45.3","2651.2",1,100,"5444"
"Month-to-month","Electronic check",2,"104.4","242.8",1,83,"4690"
"One year","Bank transfer (automatic)",53,"94.85","5000.2",1,80,"4328"
"Month-to-month","Mailed check",15,"74.45","1145.7",1,99,"5717"
"Month-to-month","Bank transfer (automatic)",7,"76.45","503.6",1,81,"4419"
"Month-to-month","Bank transfer (automatic)",1,"29.95","29.95",1,95,"4534"
"Month-to-month","Bank transfer (automatic)",8,"84.5","662.65",1,86,"2152"
"Month-to-month","Electronic check",13,"79.25","1111.65",1,73,"5142"
"Month-to-month","Electronic check",1,"24.8","24.8",1,94,"4851"
"Month-to-month","Electronic check",6,"91.0","531.0",1,94,"2283"
"Month-to-month","Electronic check",1,"79.9","79.9",1,98,"3394"
"Month-to-month","Electronic check",19,"106.6","1934.45",1,71,"3764"
"Month-to-month","Credit card (automatic)",2,"46.0","84.5",1,76,"2667"
"Month-to-month","Electronic check",4,"70.15","268.35",1,67,"2227"
"Month-to-month","Mailed check",4,"50.05","179.35",1,82,"3394"
"Month-to-month","Mailed check",1,"55.2","55.2",1,81,"3638"
"Month-to-month","Mailed check",1,"84.6","84.6",1,66,"2484"
"Month-to-month","Mailed check",2,"54.4","114.1",1,81,"2556"
"Month-to-month","Electronic check",11,"95.0","1120.3",1,85,"5980"
"Month-to-month","Electronic check",15,"74.4","1074.3",1,86,"4616"
"Month-to-month","Mailed check",1,"48.55","48.55",1,77,"5687"
"Month-to-month","Electronic check",2,"70.4","147.15",1,75,"5687"
"Month-to-month","Electronic check",1,"40.2","40.2",1,65,"5828"
"Month-to-month","Credit card (automatic)",2,"44.6","80.55",1,99,"4884"
"Month-to-month","Electronic check",3,"41.15","132.2",1,96,"2314"
"Month-to-month","Electronic check",13,"106.9","1364.3",1,84,"2494"
"Two year","Mailed check",59,"19.35","1099.6",1,83,"5084"
"Month-to-month","Electronic check",16,"94.45","1511.2",1,81,"3810"
"Month-to-month","Bank transfer (automatic)",1,"24.8","24.8",1,73,"5087"
"Month-to-month","Mailed check",1,"70.6","70.6",1,69,"3338"
"Month-to-month","Electronic check",5,"85.4","401.1",1,80,"3676"
"Month-to-month","Electronic check",52,"105.05","5624.85",1,65,"4839"
"Month-to-month","Mailed check",18,"95.15","1779.95",1,68,"4643"
"Month-to-month","Electronic check",1,"70.0","70.0",1,97,"4094"
"Month-to-month","Electronic check",8,"74.5","606.55",1,80,"4345"
"Month-to-month","Credit card (automatic)",10,"44.85","435.4",1,83,"4061"
"Month-to-month","Electronic check",24,"76.1","1712.7",1,98,"2018"
"Month-to-month","Mailed check",1,"73.6","73.6",1,80,"2565"
"Month-to-month","Electronic check",4,"95.45","396.1",1,85,"3677"
"Month-to-month","Electronic check",32,"74.9","2303.35",1,69,"4105"
"Month-to-month","Electronic check",5,"80.6","415.55",1,69,"5715"
"One year","Credit card (automatic)",38,"80.3","3058.65",1,81,"2071"
"Month-to-month","Electronic check",24,"93.15","2231.05",1,73,"2212"
"One year","Bank transfer (automatic)",54,"82.45","4350.1",1,83,"4149"
"Month-to-month","Electronic check",2,"70.35","139.05",1,73,"2671"
"Month-to-month","Electronic check",7,"73.85","511.25",1,67,"2473"
"Month-to-month","Mailed check",2,"80.6","155.8",1,92,"2683"
"One year","Bank transfer (automatic)",68,"75.8","5293.95",1,81,"4903"
"Two year","Electronic check",43,"104.6","4759.85",1,91,"5250"
"Month-to-month","Electronic check",63,"103.4","6603.0",1,98,"4352"
"Month-to-month","Electronic check",2,"90.4","168.2",1,76,"4157"
"Month-to-month","Bank transfer (automatic)",4,"84.8","371.9",1,73,"4939"
"Month-to-month","Electronic check",21,"41.9","840.1",1,97,"4778"
"Month-to-month","Bank transfer (automatic)",10,"80.25","846.0",1,85,"3598"
"Month-to-month","Credit card (automatic)",27,"30.75","805.1",1,91,"2927"
"Month-to-month","Bank transfer (automatic)",5,"96.5","492.55",1,98,"5383"
"Month-to-month","Electronic check",2,"85.65","181.5",1,73,"3878"
"Two year","Credit card (automatic)",72,"90.95","6652.45",0,66,"5096"
"Month-to-month","Bank transfer (automatic)",25,"104.95","2566.5",1,66,"3642"
"Month-to-month","Mailed check",1,"50.65","50.65",1,76,"2431"
"Month-to-month","Credit card (automatic)",1,"90.85","90.85",1,81,"3424"
"Month-to-month","Mailed check",11,"19.95","214.75",1,80,"5888"
"Month-to-month","Electronic check",55,"85.45","4874.7",1,100,"5502"
"Month-to-month","Credit card (automatic)",34,"73.95","2524.45",1,94,"5795"
"Month-to-month","Credit card (automatic)",69,"99.45","7007.6",1,80,"4020"
"Month-to-month","Mailed check",1,"19.9","19.9",1,92,"3351"
"Month-to-month","Mailed check",1,"19.6","19.6",1,95,"3448"
"Month-to-month","Electronic check",3,"81.35","233.7",1,73,"2818"
"Month-to-month","Electronic check",22,"83.3","1845.9",1,88,"3804"
"Month-to-month","Bank transfer (automatic)",1,"75.3","75.3",1,67,"4902"
"Month-to-month","Mailed check",61,"19.4","1182.55",1,82,"4221"
"Month-to-month","Bank transfer (automatic)",12,"45.4","518.9",1,68,"2887"
"Month-to-month","Electronic check",60,"105.9","6396.45",1,84,"4105"
"Month-to-month","Mailed check",1,"69.55","69.55",1,73,"2792"
"Month-to-month","Electronic check",28,"81.05","2227.1",1,98,"5201"
"Month-to-month","Electronic check",4,"101.15","385.9",1,84,"4417"
"Month-to-month","Electronic check",7,"99.8","673.25",1,98,"2031"
"Month-to-month","Electronic check",13,"55.95","734.35",1,91,"4498"
"Month-to-month","Electronic check",1,"55.0","55.0",1,71,"4877"
"Month-to-month","Electronic check",1,"74.7","74.7",1,80,"5980"
"Month-to-month","Electronic check",24,"80.25","1861.5",1,77,"4418"
"Month-to-month","Electronic check",5,"96.1","453.4",1,66,"4192"
"Month-to-month","Bank transfer (automatic)",15,"69.0","994.8",1,73,"5671"
"Month-to-month","Bank transfer (automatic)",48,"45.3","2145.0",1,65,"4926"
"Month-to-month","Electronic check",8,"83.55","680.05",1,65,"2879"
"Month-to-month","Electronic check",1,"74.35","74.35",1,93,"2814"
"Month-to-month","Electronic check",2,"74.4","139.4",1,77,"4263"
"One year","Bank transfer (automatic)",22,"43.75","903.6",1,66,"3099"
"Month-to-month","Electronic check",5,"28.45","131.05",1,89,"4099"
"Month-to-month","Bank transfer (automatic)",12,"99.7","1238.45",1,76,"2538"
"Month-to-month","Electronic check",20,"94.1","1782.4",1,87,"2666"
"Month-to-month","Electronic check",2,"94.2","167.5",1,72,"3715"
"Month-to-month","Electronic check",6,"80.5","502.85",1,98,"5032"
"Month-to-month","Electronic check",5,"74.35","334.8",1,82,"5273"
"Month-to-month","Bank transfer (automatic)",40,"104.8","4131.95",1,88,"3492"
"Month-to-month","Bank transfer (automatic)",27,"75.2","1929.35",1,99,"4517"
"Month-to-month","Bank transfer (automatic)",23,"75.6","1758.6",1,81,"2115"
"Month-to-month","Electronic check",34,"100.05","3480.0",1,72,"2568"
"Month-to-month","Electronic check",1,"85.0","85.0",1,80,"5679"
